window_title,timestamp,category,app_name
Command Prompt - python  app.py - python  app.py - python  app.py - python  app.py - python  app.py,2023-10-11 22:56:32.123329,Other,python  app.py
app.py - productivity - Visual Studio Code,2023-10-11 22:57:02.125084,Other,Visual Studio Code
Figure 1,2023-10-11 23:04:55.311404,Other,unknown
Window Tracking with pygetwindow - Google Chrome,2023-10-11 23:05:25.454821,Browsers,Google Chrome
Task Switching,2023-10-11 23:05:55.602654,Other,unknown
app.py - productivity - Visual Studio Code,2023-10-11 23:06:25.746676,Other,Visual Studio Code
Window Tracking with pygetwindow - Google Chrome,2023-10-11 23:06:55.892386,Browsers,Google Chrome
Figure 1,2023-10-11 23:07:26.048871,Other,unknown
app.py - productivity - Visual Studio Code,2023-10-11 23:07:56.199292,Other,Visual Studio Code
app.py - productivity - Visual Studio Code,2023-10-11 23:08:26.363938,Other,Visual Studio Code
app.py - productivity - Visual Studio Code,2023-10-11 23:08:56.514716,Other,Visual Studio Code
Window Tracking with pygetwindow - Google Chrome,2023-10-11 23:09:26.667379,Browsers,Google Chrome
Figure 1,2023-10-11 23:09:56.824907,Other,unknown
Figure 1,2023-10-11 23:10:26.968235,Other,unknown
● app.py - productivity - Visual Studio Code,2023-10-11 23:10:57.106669,Other,Visual Studio Code
Window Tracking with pygetwindow - Google Chrome,2023-10-11 23:11:27.267227,Browsers,Google Chrome
Window Tracking with pygetwindow - Google Chrome,2023-10-11 23:11:57.433542,Browsers,Google Chrome
app.py - productivity - Visual Studio Code,2023-10-11 23:12:27.581209,Other,Visual Studio Code
● app.py - productivity - Visual Studio Code,2023-10-11 23:12:57.762936,Other,Visual Studio Code
Figure 1,2023-10-11 23:13:27.912005,Other,unknown
window_activity_log - Copy - Excel,2023-10-11 23:13:58.066950,Other,Excel
● app.py - productivity - Visual Studio Code,2023-10-11 23:14:28.229439,Other,Visual Studio Code
Window Tracking with pygetwindow - Google Chrome,2023-10-11 23:14:58.381143,Browsers,Google Chrome
Figure 1,2023-10-11 23:15:33.545035,Other,unknown
● app.py - productivity - Visual Studio Code,2023-10-11 23:16:03.694887,Coding,Visual Studio Code
app.py - productivity - Visual Studio Code,2023-10-11 23:16:33.844930,Coding,Visual Studio Code
app.py - productivity - Visual Studio Code,2023-10-11 23:17:04.012980,Coding,Visual Studio Code
Figure 1,2023-10-11 23:17:11.173966,Other,unknown
app.py - productivity - Visual Studio Code,2023-10-11 23:17:41.316743,Coding,Visual Studio Code
Window Tracking with pygetwindow - Google Chrome,2023-10-11 23:18:11.468170,Browsers,Google Chrome
window_activity_log - Copy (2) - Excel,2023-10-11 23:18:41.602313,Other,Excel
window_activity_log - Copy (2) - Excel,2023-10-11 23:19:11.753787,Other,Excel
Window Tracking with pygetwindow - Google Chrome,2023-10-11 23:19:41.911882,Browsers,Google Chrome
app.py - productivity - Visual Studio Code,2023-10-11 23:20:12.068539,Coding,Visual Studio Code
Figure 1,2023-10-11 23:20:33.481382,Other,unknown
Figure 1,2023-10-11 23:20:55.688712,Other,unknown
Figure 1,2023-10-11 23:21:39.437504,Other,unknown
window_activity_log - Copy - Excel,2023-10-11 23:22:09.585694,Other,Excel
app.py - productivity - Visual Studio Code,2023-10-11 23:22:39.739149,Coding,Visual Studio Code
app.py - productivity - Visual Studio Code,2023-10-11 23:23:09.889906,Coding,Visual Studio Code
● app.py - productivity - Visual Studio Code,2023-10-11 23:23:40.033700,Coding,Visual Studio Code
app.py - productivity - Visual Studio Code,2023-10-11 23:24:10.189539,Coding,Visual Studio Code
● app.py - productivity - Visual Studio Code,2023-10-11 23:24:40.330585,Coding,Visual Studio Code
Task Switching,2023-10-11 23:25:10.477610,Other,unknown
Figure 1,2023-10-11 23:25:38.688516,Other,unknown
Window Tracking with pygetwindow - Google Chrome,2023-10-11 23:26:08.692684,Browsers,Google Chrome
Figure 1,2023-10-11 23:26:41.470962,Other,unknown
app.py - productivity - Visual Studio Code,2023-10-11 23:27:11.486705,Coding,Visual Studio Code
Window Tracking with pygetwindow - Google Chrome,2023-10-11 23:27:41.504835,Browsers,Google Chrome
app.py - productivity - Visual Studio Code,2023-10-11 23:28:11.507894,Coding,Visual Studio Code
app.py - productivity - Visual Studio Code,2023-10-11 23:28:41.522036,Coding,Visual Studio Code
Window Tracking with pygetwindow - Google Chrome,2023-10-11 23:29:11.525675,Browsers,Google Chrome
Task Switching,2023-10-11 23:29:41.526894,Other,unknown
Figure 1,2023-10-11 23:29:46.825223,Other,unknown
window_activity_log - Copy - Excel,2023-10-11 23:30:16.837377,Other,Excel
Window Tracking with pygetwindow - Google Chrome,2023-10-11 23:30:46.845044,Browsers,Google Chrome
Task Scheduler,2023-10-11 23:31:16.853087,Other,unknown
Create Basic Task Wizard,2023-10-11 23:31:46.873099,Other,unknown
Open,2023-10-11 23:32:16.873386,Other,unknown
Window Tracking with pygetwindow - Google Chrome,2023-10-11 23:32:46.886029,Browsers,Google Chrome
Figure 1,2023-10-12 09:20:51.233722,Other,unknown
CS221 Summer 2023: Artificial Intelligence: Principles and Techniques - Online LaTeX Editor Overleaf - Google Chrome,2023-10-12 09:21:21.248204,Browsers,Google Chrome
CS221 Summer 2023: Artificial Intelligence: Principles and Techniques - Online LaTeX Editor Overleaf - Google Chrome,2023-10-12 09:21:51.250681,Browsers,Google Chrome
CS221 Summer 2023: Artificial Intelligence: Principles and Techniques - Online LaTeX Editor Overleaf - Google Chrome,2023-10-12 09:22:21.263910,Browsers,Google Chrome
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-12 09:22:51.276009,Browsers,Google Chrome
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-12 09:23:21.279748,Browsers,Google Chrome
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-12 09:23:51.281093,Browsers,Google Chrome
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-12 09:24:21.302658,Browsers,Google Chrome
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-12 09:24:51.309603,Browsers,Google Chrome
"Google Calendar - Week of October 8, 2023 - Google Chrome",2023-10-12 09:25:21.310060,Browsers,Google Chrome
"Google Calendar - Week of October 8, 2023 - Google Chrome",2023-10-12 09:25:51.318960,Browsers,Google Chrome
"Google Calendar - Week of October 8, 2023 - Google Chrome",2023-10-12 09:26:21.325409,Browsers,Google Chrome
"Google Calendar - Week of October 8, 2023 - Google Chrome",2023-10-12 09:26:51.335170,Browsers,Google Chrome
"Google Calendar - Week of October 8, 2023 - Google Chrome",2023-10-12 09:27:21.339742,Browsers,Google Chrome
"Google Calendar - Week of October 8, 2023 - Google Chrome",2023-10-12 09:27:51.350717,Browsers,Google Chrome
"Google Calendar - Week of October 8, 2023 - Google Chrome",2023-10-12 09:28:21.355468,Browsers,Google Chrome
"Google Calendar - Week of October 8, 2023 - Google Chrome",2023-10-12 09:28:51.358163,Browsers,Google Chrome
